 C , lnC , dC ,y,Y, lnY , dY , I , lnI , dI , g ,g2,G, lnG , dG , balanza bruta ,balanza comercial2,XN, dXN , INPC 
60.08,4.1,0.5,"10,519,728.99",64.12,16.17,1.31,52.54,3.96,6.19,"124,911.50","4,891.38",13.99,8.5,11.98945982,, -   ,0, -   ,25.53706467
61.17,4.11,1.82,"10,696,639.95",65.2,16.19,1.68,56.13,4.03,6.84,"219,521.87","8,218.22",23.51,9.01,6,, -   ,0, -   ,26.711618
62.67,4.14,2.47,"11,019,293.93",67.17,16.22,3.02,59.31,4.08,5.65,"333,622.93","11,904.11",34.06,9.38,4.10654828,, -   ,0, -   ,28.02586233
63.47,4.15,1.27,"11,039,399.91",67.29,16.22,0.18,57.71,4.06,-2.69,"61,212.57","2,043.57",5.85,7.62,-18.76332623,, -   ,0, -   ,29.953791
65.23,4.18,2.78,"11,292,729.75",68.83,16.24,2.29,62.31,4.13,7.97,"166,333.70","5,370.05",15.36,8.59,12.72965879,, -   ,0, -   ,30.97434933
65.94,4.19,1.09,"11,507,357.12",70.14,16.26,1.9,64.93,4.17,4.2,"284,341.33","8,929.73",25.55,9.1,5.937136205,, -   ,0, -   ,31.84210867
67.54,4.21,2.43,"11,792,634.06",71.88,16.28,2.48,65.84,4.19,1.4,"428,250.17","13,035.63",37.29,9.48,4.175824176,, -   ,0, -   ,32.852286
68.65,4.23,1.64,"11,901,675.28",72.54,16.29,0.92,67.8,4.22,2.97,"78,573.20","2,275.12",6.51,7.73,-18.45991561,, -   ,0, -   ,34.53589833
69.57,4.24,1.34,"11,986,746.72",73.06,16.3,0.71,68.97,4.23,1.73,"202,064.47","5,666.42",16.21,8.64,11.77231565,, -   ,0, -   ,35.659981
70.16,4.25,0.85,"12,048,682.17",73.44,16.3,0.52,70.45,4.25,2.14,"340,529.40","9,250.09",26.46,9.13,5.671296296,, -   ,0, -   ,36.81362867
70.35,4.25,0.26,"12,064,864.54",73.54,16.31,0.13,70,4.25,-0.63,"510,286.23","13,212.09",37.8,9.49,3.943044907,, -   ,0, -   ,38.62267633
71.68,4.27,1.89,"12,187,247.80",74.28,16.32,1.01,72.94,4.29,4.19,"93,258.73","2,276.86",6.51,7.73,-18.54583772,, -   ,0, -   ,40.95936567
72.41,4.28,1.02,"12,259,177.07",74.72,16.32,0.59,72.66,4.29,-0.38,"232,540.47","5,532.18",15.83,8.62,11.51358344,, -   ,0, -   ,42.03415333
73.42,4.3,1.4,"12,378,824.98",75.45,16.33,0.98,73.1,4.29,0.61,"404,454.10","9,432.39",26.98,9.15,6.148491879,, -   ,0, -   ,42.87928433
73.92,4.3,,"12,492,530.44",76.15,16.34,0.92,73.99,4.3,1.22,"599,425.40","13,650.18",39.05,9.52,4.043715847,, -   ,0, -   ,43.913381
75.85,4.33,3.31,"12,727,264.37",77.58,16.36,1.88,76.55,4.34,3.45,"114,270.73","2,523.63",7.22,7.83,-17.75210084,, -   ,0, -   ,45.280297
77.26,4.35,1.85,"12,919,473.99",78.75,16.37,1.51,77.7,4.35,1.5,"290,226.93","6,303.10",18.03,8.75,11.74968072,, -   ,0, -   ,46.04510567
78.67,4.37,1.83,"13,051,243.34",79.55,16.38,1.02,77.82,4.35,0.16,"496,820.60","10,627.53",30.4,9.27,5.942857143,, -   ,0, -   ,46.748441
79.72,4.38,1.34,"12,938,468.36",78.86,16.38,-0.86,75.88,4.33,-2.5,"735,093.13","15,369.61",43.97,9.64,3.991370011,, -   ,0, -   ,47.82769833
79.22,4.37,-0.63,"12,942,559.27",78.89,16.38,0.03,72.46,4.28,-4.5,"131,347.70","2,699.49",7.72,7.9,-18.04979253,, -   ,0, -   ,48.656564
79.54,4.38,0.4,"12,872,628.41",78.46,16.37,-0.54,70.08,4.25,-3.28,"328,154.23","6,668.28",19.08,8.81,11.51898734,, -   ,0, -   ,49.21121433
